Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Artículos Adjudicados:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificaciones adicionales:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificaciones adicionales:Descripción,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificaciones adicionales:Esquema
ocds-dgv273-seacev3-1188387,ocds-dgv273-seacev3-1188387-2026-03-07T10:04:57.912418-05:00,1188387-10471980647,21203623,81112002,Servicios de preparación o procesamiento de datos,UNSPSC
ocds-dgv273-seacev3-1191327,ocds-dgv273-seacev3-1191327-2026-03-07T10:04:57.708175-05:00,1191327-L0000005703,21211093,82101603,Publicidad en Internet,UNSPSC
ocds-dgv273-seacev3-1189139,ocds-dgv273-seacev3-1189139-2026-03-07T10:04:57.296036-05:00,1189139-20387107534,21205062,80141607,Gestión de eventos,UNSPSC
ocds-dgv273-seacev3-1188717,ocds-dgv273-seacev3-1188717-2026-03-07T10:04:57.086823-05:00,1188717-20607571075,21204273,78101805,Servicio de alquiler de camión pipa y tráiler,UNSPSC
ocds-dgv273-seacev3-1186882,ocds-dgv273-seacev3-1186882-2026-03-07T10:04:55.123693-05:00,1186882-20516554437,21198096,56121506,Escritorios para estudiantes,UNSPSC
ocds-dgv273-seacev3-2026-878-2,ocds-dgv273-seacev3-2026-878-2-2026-03-07T10:04:53.155104-05:00,1186555-20603293062,21197895,30131507,Bloque de concreto ligero,UNSPSC
ocds-dgv273-seacev3-1184828,ocds-dgv273-seacev3-1184828-2026-03-07T10:04:47.133168-05:00,1184828-20452714982,21201526,15101505,Diesel,UNSPSC
ocds-dgv273-seacev3-1190980,ocds-dgv273-seacev3-1190980-2026-03-07T10:04:45.820881-05:00,1190980-10463491947,21210325,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1189382,ocds-dgv273-seacev3-1189382-2026-03-07T10:04:45.607660-05:00,1189382-10726516451,21205681,30111801,Agregado natural,UNSPSC
ocds-dgv273-seacev3-2026-248315-3,ocds-dgv273-seacev3-2026-248315-3-2026-03-07T10:04:45.593783-05:00,1189333-10738563251,21205626,31163401,Gavión,UNSPSC
ocds-dgv273-seacev3-1190988,ocds-dgv273-seacev3-1190988-2026-03-07T10:04:42.895505-05:00,1190988-10726481704,21210361,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191326,ocds-dgv273-seacev3-1191326-2026-03-07T10:04:42.248838-05:00,1191326-20614447070,21211188,80121704,Servicios legales de contratos,UNSPSC
ocds-dgv273-seacev3-2026-1731-9,ocds-dgv273-seacev3-2026-1731-9-2026-03-07T10:04:41.096279-05:00,1186824-10700072351,21198051,30111503,Hormigón aislante,UNSPSC
ocds-dgv273-seacev3-1186790,ocds-dgv273-seacev3-1186790-2026-03-07T10:04:40.948985-05:00,1186790-20603647263,21200390,15101505,Diesel,UNSPSC
ocds-dgv273-seacev3-1186214,ocds-dgv273-seacev3-1186214-2026-03-07T10:04:40.424186-05:00,1186214-20100061474,21197613,41116127,Reactivos o soluciones o tinciones de Inmunología o serología,UNSPSC
ocds-dgv273-seacev3-1190983,ocds-dgv273-seacev3-1190983-2026-03-07T10:04:36.619189-05:00,1190983-10747210280,21210352,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1190995,ocds-dgv273-seacev3-1190995-2026-03-07T10:04:36.520449-05:00,1190995-10082880360,21210397,77101805,Servicios de control de calidad ambiental,UNSPSC
