Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:Artículos Contratados:ID,compiledRelease/contracts/0/items/0/totalValue/exchangeRates/0/currency,compiledRelease/contracts/0/items/0/totalValue/exchangeRates/0/rate,_mes_origen
ocds-dgv273-seacev3-1186885,ocds-dgv273-seacev3-1186885-2026-02-15T09:57:28.992718-05:00,2376688,21200596,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186704,ocds-dgv273-seacev3-1186704-2026-02-15T09:57:28.795387-05:00,2376736,21200299,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-41,ocds-dgv273-seacev3-2026-1947-41-2026-02-15T09:57:07.183489-05:00,2376711,21199626,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-324,ocds-dgv273-seacev3-2026-1947-324-2026-02-14T10:02:21.798367-05:00,2376462,21200820,PEN,3.9699367225,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1187542,ocds-dgv273-seacev3-1187542-2026-02-13T10:05:09.102000-05:00,2376292,21201375,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1187281,ocds-dgv273-seacev3-1187281-2026-02-12T10:06:06.252002-05:00,2376117,21198371,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186866,ocds-dgv273-seacev3-1186866-2026-02-11T10:04:19.102507-05:00,2376024,21198091,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186853,ocds-dgv273-seacev3-1186853-2026-02-11T10:04:15.491871-05:00,2376022,21200430,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1922-17,ocds-dgv273-seacev3-2026-1922-17-2026-02-11T10:04:04.319030-05:00,2376043,21200882,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186835,ocds-dgv273-seacev3-1186835-2026-02-11T10:03:45.441957-05:00,2376021,21200413,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-293,ocds-dgv273-seacev3-2026-1947-293-2026-02-08T10:00:21.569477-05:00,2375836,21197993,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-322,ocds-dgv273-seacev3-2026-1947-322-2026-02-08T10:00:15.901349-05:00,2375875,21200180,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186791,ocds-dgv273-seacev3-1186791-2026-02-08T10:00:11.503309-05:00,2375752,21198026,PEN,3.9699367225,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186124,ocds-dgv273-seacev3-1186124-2026-02-06T10:03:47.420313-05:00,2375349,21197510,PEN,3.9699367225,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1960-27,ocds-dgv273-seacev3-2026-1960-27-2026-08-27T10:32:03.924543-05:00,2383802,21234452,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1922-15,ocds-dgv273-seacev3-2026-1922-15-2026-08-06T10:26:33.583004-05:00,2383986,21229894,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201721,ocds-dgv273-seacev3-1201721-2026-04-23T10:36:00.304149-05:00,2384424,21238467,PEN,3.98563539545455,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201946,ocds-dgv273-seacev3-1201946-2026-04-10T10:15:18.759649-05:00,2385338,21241301,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201987,ocds-dgv273-seacev3-1201987-2026-04-10T10:15:09.228399-05:00,2385340,21241391,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1202035,ocds-dgv273-seacev3-1202035-2026-04-10T10:15:00.027946-05:00,2385343,21239704,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1195746,ocds-dgv273-seacev3-1195746-2026-04-09T10:18:23.119597-05:00,2385010,21222375,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-13-13,ocds-dgv273-seacev3-2026-13-13-2026-04-09T10:17:46.644099-05:00,2384892,21225367,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201698,ocds-dgv273-seacev3-1201698-2026-04-08T10:12:47.259142-05:00,2384610,21238446,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-289,ocds-dgv273-seacev3-2026-1947-289-2026-04-08T10:12:28.272052-05:00,2384636,21239445,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-288,ocds-dgv273-seacev3-2026-1947-288-2026-04-08T10:11:53.535600-05:00,2384634,21238853,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201863,ocds-dgv273-seacev3-1201863-2026-04-08T10:11:51.124292-05:00,2384641,21241120,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-334,ocds-dgv273-seacev3-2026-1947-334-2026-04-03T10:07:27.857394-05:00,2384542,21221065,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-339,ocds-dgv273-seacev3-2026-1947-339-2026-04-02T10:14:22.923669-05:00,2384355,21238497,PEN,3.98563539545455,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200903,ocds-dgv273-seacev3-1200903-2026-04-01T10:15:10.858336-05:00,2383858,21235969,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200810,ocds-dgv273-seacev3-1200810-2026-04-01T10:14:35.621958-05:00,2384096,21236166,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200387,ocds-dgv273-seacev3-1200387-2026-03-29T10:02:54.692915-05:00,2383803,21234838,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200319,ocds-dgv273-seacev3-1200319-2026-03-29T10:02:30.750686-05:00,2383703,21234563,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200319,ocds-dgv273-seacev3-1200319-2026-03-29T10:02:30.750686-05:00,2383704,21234564,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1199890,ocds-dgv273-seacev3-1199890-2026-03-28T10:10:59.750289-05:00,2383543,21233024,PEN,3.98563539545455,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1199981,ocds-dgv273-seacev3-1199981-2026-03-28T10:10:57.350870-05:00,2383364,21233173,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1199797,ocds-dgv273-seacev3-1199797-2026-03-28T10:10:57.222349-05:00,2383408,21232842,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1198106,ocds-dgv273-seacev3-1198106-2026-03-28T10:10:35.153811-05:00,2383363,21227836,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200181,ocds-dgv273-seacev3-1200181-2026-03-28T10:10:14.217307-05:00,2383386,21233851,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1198543,ocds-dgv273-seacev3-1198543-2026-03-28T10:10:14.046943-05:00,2383602,21229026,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200171,ocds-dgv273-seacev3-1200171-2026-03-28T10:09:57.219603-05:00,2383365,21233876,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200074,ocds-dgv273-seacev3-1200074-2026-03-28T10:09:54.386609-05:00,2383548,21233590,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1198665,ocds-dgv273-seacev3-1198665-2026-03-27T10:16:07.437210-05:00,2383180,21229348,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1199352,ocds-dgv273-seacev3-1199352-2026-03-27T10:15:57.880293-05:00,2383324,21231279,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2000-5,ocds-dgv273-seacev3-2026-2000-5-2026-03-26T10:13:10.736063-05:00,2382848,21215509,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1198847,ocds-dgv273-seacev3-1198847-2026-03-25T10:13:48.599427-05:00,2382738,21230481,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1197252,ocds-dgv273-seacev3-1197252-2026-03-25T10:13:47.621277-05:00,2382564,21225587,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1196820,ocds-dgv273-seacev3-1196820-2026-03-25T10:13:46.673470-05:00,2382682,21224943,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1198414,ocds-dgv273-seacev3-1198414-2026-03-25T10:13:40.244509-05:00,2382548,21228487,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1198391,ocds-dgv273-seacev3-1198391-2026-03-25T10:13:29.549693-05:00,2382543,21228482,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1198395,ocds-dgv273-seacev3-1198395-2026-03-25T10:13:17.028582-05:00,2382553,21228502,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1196231,ocds-dgv273-seacev3-1196231-2026-03-25T10:13:09.457586-05:00,2382666,21223235,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1196009,ocds-dgv273-seacev3-1196009-2026-03-25T10:12:46.314643-05:00,2382678,21224386,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1197709,ocds-dgv273-seacev3-1197709-2026-03-22T10:01:49.410203-05:00,2382317,21226740,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1197679,ocds-dgv273-seacev3-1197679-2026-03-22T10:01:36.423710-05:00,2382309,21226716,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1196575,ocds-dgv273-seacev3-1196575-2026-03-21T10:09:42.630962-05:00,2381970,21224144,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-10,ocds-dgv273-seacev3-2026-1947-10-2026-03-20T10:13:19.305760-05:00,2381775,21222295,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-98,ocds-dgv273-seacev3-2026-1947-98-2026-03-19T10:13:22.833411-05:00,2381507,21223262,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1193331,ocds-dgv273-seacev3-1193331-2026-03-19T10:13:05.142417-05:00,2381540,21216302,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1196324,ocds-dgv273-seacev3-1196324-2026-03-19T10:12:55.510746-05:00,2381652,21223543,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1196334,ocds-dgv273-seacev3-1196334-2026-03-19T10:12:41.790912-05:00,2381653,21223694,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1193525,ocds-dgv273-seacev3-1193525-2026-03-18T10:12:26.382415-05:00,2381352,21216602,PEN,3.98563539545455,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1195528,ocds-dgv273-seacev3-1195528-2026-03-15T10:15:40.153280-05:00,2380946,21221864,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-110,ocds-dgv273-seacev3-2026-1947-110-2026-03-15T10:15:39.444871-05:00,2381185,21219656,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1195314,ocds-dgv273-seacev3-1195314-2026-03-15T10:15:34.397367-05:00,2381006,21221563,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1192583,ocds-dgv273-seacev3-1192583-2026-03-15T10:15:04.327240-05:00,2380550,21214269,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1195297,ocds-dgv273-seacev3-1195297-2026-03-15T10:14:49.540871-05:00,2380727,21221517,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-78,ocds-dgv273-seacev3-2026-1947-78-2026-03-15T10:14:49.210218-05:00,2380859,21221052,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1195219,ocds-dgv273-seacev3-1195219-2026-03-15T10:14:16.068095-05:00,2380730,21221107,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1193972,ocds-dgv273-seacev3-1193972-2026-03-11T10:12:53.329423-05:00,2380155,21217916,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1192553,ocds-dgv273-seacev3-1192553-2026-03-05T10:10:54.163365-05:00,2379170,21214256,PEN,3.44677272727273,2026-03_seace_v3_csv_es
