Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Artículos que se adquirirán:ID,compiledRelease/tender/items/0/totalValue/exchangeRates/0/currency,compiledRelease/tender/items/0/totalValue/exchangeRates/0/rate,_mes_origen
ocds-dgv273-seacev3-1191859,ocds-dgv273-seacev3-1191859-2026-03-28T10:10:16.678914-05:00,1191859,21212244,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1925-4,ocds-dgv273-seacev3-2026-1925-4-2026-03-27T10:15:56.783102-05:00,1190987,21210632,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1925-4,ocds-dgv273-seacev3-2026-1925-4-2026-03-27T10:15:56.783102-05:00,1190987,21210632,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1188412,ocds-dgv273-seacev3-1188412-2026-03-19T10:12:40.251280-05:00,1188412,21203496,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1187968,ocds-dgv273-seacev3-1187968-2026-03-15T10:15:32.114488-05:00,1187968,21202995,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-10,ocds-dgv273-seacev3-2026-1926-10-2026-03-15T10:15:21.714392-05:00,1187473,21201264,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1188404,ocds-dgv273-seacev3-1188404-2026-03-15T10:14:59.602775-05:00,1188404,21203642,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-164,ocds-dgv273-seacev3-2026-1947-164-2026-03-11T10:13:25.292496-05:00,1187170,21198320,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10249-70,ocds-dgv273-seacev3-2026-10249-70-2026-03-08T09:59:16.324026-05:00,1189211,21205277,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191327,ocds-dgv273-seacev3-1191327-2026-03-07T10:04:57.708175-05:00,1191327,21211093,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1922-33,ocds-dgv273-seacev3-2026-1922-33-2026-03-06T10:10:14.413596-05:00,1192509,21213998,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1922-12,ocds-dgv273-seacev3-2026-1922-12-2026-03-06T10:10:14.109711-05:00,1192540,21214016,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-163,ocds-dgv273-seacev3-2026-1947-163-2026-03-06T10:10:02.638380-05:00,1191358,21211144,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2436-9,ocds-dgv273-seacev3-2026-2436-9-2026-03-06T10:09:42.104106-05:00,1189383,21205680,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1192078,ocds-dgv273-seacev3-1192078-2026-03-06T10:09:31.801768-05:00,1192078,21212745,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191152,ocds-dgv273-seacev3-1191152-2026-03-05T10:11:05.831536-05:00,1191152,21210633,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2426-26,ocds-dgv273-seacev3-2026-2426-26-2026-03-05T10:11:02.443513-05:00,1187280,21200835,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10249-99,ocds-dgv273-seacev3-2026-10249-99-2026-03-05T10:10:53.335129-05:00,1188738,21204292,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191991,ocds-dgv273-seacev3-1191991-2026-03-04T10:08:38.275615-05:00,1191991,21212857,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1192035,ocds-dgv273-seacev3-1192035-2026-03-04T10:08:27.584983-05:00,1192035,21212925,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-7,ocds-dgv273-seacev3-2026-1947-7-2026-03-04T10:08:16.511608-05:00,1191731,21211926,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1192014,ocds-dgv273-seacev3-1192014-2026-03-04T10:08:15.791330-05:00,1192014,21212699,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191693,ocds-dgv273-seacev3-1191693-2026-03-01T09:59:22.431724-05:00,1191693,21211858,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191623,ocds-dgv273-seacev3-1191623-2026-03-01T09:59:22.394528-05:00,1191623,21211753,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191672,ocds-dgv273-seacev3-1191672-2026-03-01T09:59:18.429450-05:00,1191672,21211852,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191688,ocds-dgv273-seacev3-1191688-2026-03-01T09:59:18.122290-05:00,1191688,21211835,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191593,ocds-dgv273-seacev3-1191593-2026-03-01T09:59:16.325575-05:00,1191593,21211747,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191691,ocds-dgv273-seacev3-1191691-2026-03-01T09:59:09.478132-05:00,1191691,21211849,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-200344-34,ocds-dgv273-seacev3-2026-200344-34-2026-03-01T09:58:57.727960-05:00,1191423,21211305,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1190545,ocds-dgv273-seacev3-1190545-2026-02-28T10:11:23.421681-05:00,1190545,21209121,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191116,ocds-dgv273-seacev3-1191116-2026-02-28T10:11:13.000141-05:00,1191116,21210628,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1189584,ocds-dgv273-seacev3-1189584-2026-02-28T10:11:01.724734-05:00,1189584,21206337,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191100,ocds-dgv273-seacev3-1191100-2026-02-28T10:10:50.453518-05:00,1191100,21210541,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191104,ocds-dgv273-seacev3-1191104-2026-02-28T10:10:37.069064-05:00,1191104,21210596,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1190727,ocds-dgv273-seacev3-1190727-2026-02-28T10:10:26.383589-05:00,1190727,21209801,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1190389,ocds-dgv273-seacev3-1190389-2026-02-28T10:10:26.318195-05:00,1190389,21208858,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1922-10,ocds-dgv273-seacev3-2026-1922-10-2026-02-26T10:09:24.325630-05:00,1190221,21208257,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1190158,ocds-dgv273-seacev3-1190158-2026-02-25T10:09:03.321670-05:00,1190158,21208367,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186218,ocds-dgv273-seacev3-1186218-2026-02-22T09:58:47.973759-05:00,1186218,21197607,PEN,3.9699367225,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1189435,ocds-dgv273-seacev3-1189435-2026-02-22T09:58:44.782034-05:00,1189435,21205942,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1188860,ocds-dgv273-seacev3-1188860-2026-02-21T10:03:20.522344-05:00,1188860,21204555,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-348,ocds-dgv273-seacev3-2026-1947-348-2026-02-21T10:02:33.776964-05:00,1188631,21204115,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1188751,ocds-dgv273-seacev3-1188751-2026-02-20T10:10:04.790481-05:00,1188751,21204336,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186885,ocds-dgv273-seacev3-1186885-2026-02-15T09:57:28.992718-05:00,1186885,21200596,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186704,ocds-dgv273-seacev3-1186704-2026-02-15T09:57:28.795387-05:00,1186704,21200299,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-41,ocds-dgv273-seacev3-2026-1947-41-2026-02-15T09:57:07.183489-05:00,1186110,21199626,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-324,ocds-dgv273-seacev3-2026-1947-324-2026-02-14T10:02:21.798367-05:00,1187250,21200820,PEN,3.9699367225,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1187542,ocds-dgv273-seacev3-1187542-2026-02-13T10:05:09.102000-05:00,1187542,21201375,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1187281,ocds-dgv273-seacev3-1187281-2026-02-12T10:06:06.252002-05:00,1187281,21198371,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186866,ocds-dgv273-seacev3-1186866-2026-02-11T10:04:19.102507-05:00,1186866,21198091,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186853,ocds-dgv273-seacev3-1186853-2026-02-11T10:04:15.491871-05:00,1186853,21200430,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1922-17,ocds-dgv273-seacev3-2026-1922-17-2026-02-11T10:04:04.319030-05:00,1187305,21200882,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186835,ocds-dgv273-seacev3-1186835-2026-02-11T10:03:45.441957-05:00,1186835,21200413,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-293,ocds-dgv273-seacev3-2026-1947-293-2026-02-08T10:00:21.569477-05:00,1186749,21197993,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-322,ocds-dgv273-seacev3-2026-1947-322-2026-02-08T10:00:15.901349-05:00,1186561,21200180,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186791,ocds-dgv273-seacev3-1186791-2026-02-08T10:00:11.503309-05:00,1186791,21198026,PEN,3.9699367225,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186124,ocds-dgv273-seacev3-1186124-2026-02-06T10:03:47.420313-05:00,1186124,21197510,PEN,3.9699367225,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1200190,ocds-dgv273-seacev3-1200190-2026-08-28T10:29:47.859270-05:00,1200190,21236920,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1960-27,ocds-dgv273-seacev3-2026-1960-27-2026-08-27T10:32:03.924543-05:00,1200361,21234452,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2391-113,ocds-dgv273-seacev3-2026-2391-113-2026-08-16T10:07:38.106605-05:00,1201737,21238571,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2391-113,ocds-dgv273-seacev3-2026-2391-113-2026-08-16T10:07:38.106605-05:00,1201737,21238571,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1922-15,ocds-dgv273-seacev3-2026-1922-15-2026-08-06T10:26:33.583004-05:00,1198841,21229894,PEN,3.44677272727273,2026-03_seace_v3_csv_es
