Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Artículos que se adquirirán:ID,compiledRelease/tender/items/0/position,Entrega compilada:Licitación:Artículos que se adquirirán:Descripción,compiledRelease/tender/items/0/statusDetails,compiledRelease/tender/items/0/status,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificación:ID,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificación:Descripción,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificación:Esquema,Entrega compilada:Licitación:Artículos que se adquirirán:Cantidad,compiledRelease/tender/items/0/totalValue/amount,compiledRelease/tender/items/0/totalValue/currency,compiledRelease/tender/items/0/totalValue/currencyName,Entrega compilada:Licitación:Artículos que se adquirirán:Unidad:ID,Entrega compilada:Licitación:Artículos que se adquirirán:Unidad:Nombre,Entrega compilada:Licitación:Artículos que se adquirirán:Unidad:Esquema,_mes_origen
ocds-dgv273-seacev3-1197841,ocds-dgv273-seacev3-1197841-2026-04-22T10:34:48.848773-05:00,1197841,21227011,1,ADQUISICIÓN DE AGREGADOS LA PARA EJECUCIÓN DE LAS OBRAS ¿MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL DEL JR. LOS CAPULIES Y ANEXOS DEL CENTRO POBLADO DE RUMI RUMI DEL DISTRITO DE ANDAHUAYLAS ¿ PROVINCIA DE ANDAHUAYLAS ¿ DEPARTAM,CONTRATADO,complete,,,,2.0,56254.3,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200406,ocds-dgv273-seacev3-1200406-2026-04-22T10:34:48.745853-05:00,1200406,21235006,1,SERVICIO DE SEGUIMIENTO Y MONITOREO DE PROYECTO DE INVERSION PUBLICA,CONTRATADO,complete,8010160600331848.0,SERVICIO DE SEGUIMIENTO Y MONITOREO DE PROYECTO DE INVERSION PUBLICA,CUBSO,1.0,45000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1198943,ocds-dgv273-seacev3-1198943-2026-04-22T10:34:48.726981-05:00,1198943,21230194,1,DIESEL B5 S-50,DESIERTO,unsuccessful,1510150500233280.0,DIESEL B5 S-50,CUBSO,8000.0,148000.0,PEN,Soles,13,Galon,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201465,ocds-dgv273-seacev3-1201465-2026-04-22T10:34:48.681674-05:00,1201465,21238086,1,CAMA DE METAL PLEGABLE DE 1 PLAZA,CONTRATADO,complete,5610151500185654.0,CAMA DE METAL PLEGABLE DE 1 PLAZA,CUBSO,500.0,60000.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1194887,ocds-dgv273-seacev3-1194887-2026-04-22T10:34:48.344786-05:00,1194887,21219927,1,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE RURAL EN LA ZONA URBANA DE LLAMA, DISTRITO DE LLAMA, PROVINCIA DE MARISCAL LUZURIAGA, DEPARTAMENTO DE ANCASH CON CUI N 2678769",NULO,unsuccessful,7214112100337579.0,AMPLIACION DE SISTEMA DE AGUA POTABLE,CUBSO,1.0,488757.06,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1193081,ocds-dgv273-seacev3-1193081-2026-04-22T10:34:47.963631-05:00,1193081,21215478,1,"SERVICIO DE DEFENSA LEGAL Y ASESORÍA A FAVOR DE LA SEÑORA ZORAIDA ALLCA VELAZCO, EN SU CONDICIÓN DE EX COORDINADORA DE CARRETERAS DEL EQUIPO DE TRABAJO ""EQUIPO ESPECIAL ENCARGADO DE LA RECONSTRUCCIÓN CON CAMBIOS EN EL MINISTERIO DE TRANSPORTES Y COMU",CONTRATADO,complete,9210180500369480.0,SERVICIO DE PATROCINIO LEGAL EN PROCESOS JUDICIALES,CUBSO,1.0,80000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201679,ocds-dgv273-seacev3-1201679-2026-04-22T10:34:47.380082-05:00,1201679,21238362,1,CUCHILLA DE VITRECTOMIA CAMARA ANTERIOR PARA FACOEMULSIFICADOR CONSTELLATION,CONTRATADO,complete,4229516000314070.0,CUCHILLA DE VITRECTOMIA CAMARA ANTERIOR PARA FACOEMULSIFICADOR,CUBSO,130.0,89012.3,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1193396,ocds-dgv273-seacev3-1193396-2026-04-22T10:34:47.298887-05:00,1193396,21216513,1,ADQUISICION DE SUMINISTROS DE BIENES LECHE EVAPORADA ENTERA DE 400 GR. Y HOJUELA DE AVENA ENRIQUECIDA CON VITAMINAS PARA EL PROGRAMA DE VASO DE LECHE DEL AÑO FISCAL 2026 DE LA MUNICIPALIDAD PROVINCIAL DE LAMPA.,CONTRATADO,complete,,,,2.0,226137.6,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1194068,ocds-dgv273-seacev3-1194068-2026-04-22T10:34:47.276968-05:00,1194068,21218050,1,"ADQUISICIÓN DE TUBERÍAS Y ACCESORIOS PARA INSTALACIÓN DE AGUA Y DESAGÜE, PARA LA EJECUCIÓN FÍSICA DEL PROYECTO ""MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL DE LA PROL. MANCHEGO MUÑOZ, JR. QUICHCAHUAYCCO, JR. YAULI, JR. LIRCAY, J",CONTRATADO,complete,,,,2458.0,123522.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-200121-5,ocds-dgv273-seacev3-2026-200121-5-2026-04-22T10:34:47.132564-05:00,1186232,21199838,1,Contratacion del servicio de seguro de bienes muebles e inmuebles - seguros patrimoniales,CONTRATADO,complete,,,,1.0,528870.9,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1197031,ocds-dgv273-seacev3-1197031-2026-04-21T10:15:06.302272-05:00,1197031,21225089,1,DIESEL B5 S-50,CONTRATADO,complete,1510150500233280.0,DIESEL B5 S-50,CUBSO,4805.0,108112.5,PEN,Soles,13,Galon,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201538,ocds-dgv273-seacev3-1201538-2026-04-21T10:14:52.967009-05:00,1201538,21237984,1,REMODELACION DE INFRAESTRUCTURA DE CENTROS EDUCATIVOS,CONVOCADO,active,7212140600233068.0,REMODELACION DE INFRAESTRUCTURA DE CENTROS EDUCATIVOS,CUBSO,1.0,2590000.53,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1202148,ocds-dgv273-seacev3-1202148-2026-04-21T10:14:34.720590-05:00,1202148,21239869,1,"¿CREACIÓN DEL SERVICIO DE SUMINISTRO ELÉCTRICO DOMICILIARIO EN ZONAS RURALES EN CENTRO POBLADOS Y CASERIOS, MEDIANTE SISTEMA FOTOVOLTAICO (PANELES SOLARES) DISTRITO DE LANCONES DE LA PROVINCIA DE SULLANA DEL DEPARTAMENTO DE PIURA¿",CONVOCADO,active,72151203.0,Servicios de construcción de energía solar para CVAA,CUBSO,1.0,0.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1195733,ocds-dgv273-seacev3-1195733-2026-04-20T10:03:04.694088-05:00,1195733,21222389,1,MEJORAMIENTO Y AMPLIACION DEL PUESTO DE SALUD I-2 EN LA LOCALIDAD DE IBERIA CUI: 2586930,CONTRATADO,complete,7212140300340159.0,AMPLIACION DE INFRAESTRUCTURA DE SALUD,CUBSO,1.0,3980305.8,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1192064,ocds-dgv273-seacev3-1192064-2026-04-20T10:03:04.003157-05:00,1192064,21212717,1,"ADQUISICION DE GRASS SINTETICO COLOR VERDE GRASS SHAPE RECTO (FRANJEADO), 50mm, Dtex (ASTM D 1907): 13,500 DTX,12 puntas/mechón, Puntales por mt2 (ISO 1763): 8190+/-10, backing Green Latex, PARA LA OBRA ¿CREACION DEL SERVICIO DE PRACTICA DEPORTIVA Y/",RETROTRAIDO_POR_RESOLUCION,complete,3012180300281731.0,CESPED SINTETICO X 4 m DE ANCHO,CUBSO,5720.0,114400.0,PEN,Soles,25,M2,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1199032,ocds-dgv273-seacev3-1199032-2026-04-19T10:08:40.568713-05:00,1199032,21230523,1,"SERVICIO DE MANTENIMIENTO RUTINARIO DEL CAMINO VECINAL NO PAVIMENTADO SM-1012, TRAMO: EMP. PE-5N (SANTA CRUZ) - ALTO NUEVO ORIENTE (KM 11+157), L= 11.157 KM EN EL DISTRITO DE NUEVO PROGRESO, PROVINCIA DE TOCACHE, REGIÓN SAN MARTÍN",CONTRATADO,complete,7214100300230730.0,SERVICIO DE MANTENIMIENTO RUTINARIO DE CAMINOS,CUBSO,1.0,74863.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-200190-48,ocds-dgv273-seacev3-2026-200190-48-2026-04-19T10:08:40.219298-05:00,1201183,21236894,1,"Servicio de publicación de avisos, emisión de programa radial y otros, en una radiodifusora con alcance en todo el Departamento de Tumbes de la U.E. Tumbes.",DESIERTO,unsuccessful,8210160100228489.0,SERVICIO DE DIFUSION EN RADIO,CUBSO,1.0,157787.51,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1194647,ocds-dgv273-seacev3-1194647-2026-04-19T10:08:39.915106-05:00,1194647,21219678,1,HARINA DE CAÑIHUA TOSTADA,CONTRATADO,complete,5022110100391443.0,HARINA DE CAÑIHUA TOSTADA,CUBSO,4960.0,104160.0,PEN,Soles,18,Kilogramo,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1196399,ocds-dgv273-seacev3-1196399-2026-04-19T10:08:39.621808-05:00,1196399,21223618,1,CONTRATACIÓN DE LOS SERVICIOS DE UNA COMPAÑÍA DE SEGUROS O ENTIDAD PRESTADORA DE SALUD (EPS) PARA LA PÓLIZA DE SEGURO COMPLEMENTARIO DE TRABAJO DE RIESGO (SCTR SALUD) A FAVOR DE LOS SERVIDORES CIVILES DEL MTC,CONTRATADO,complete,8413161200393778.0,POLIZA DE SEGURO COMPLEMENTARIO DE TRABAJO DE RIESGO SCTR PENSION,CUBSO,1.0,53276.26,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1193967,ocds-dgv273-seacev3-1193967-2026-04-19T10:08:39.548765-05:00,1193967,21217879,1,"EJECUCIÓN DEL MANTENIMIENTO RUTINARIO DEL CAMINO VECINAL: EMP IC-108-TRES MARIAS -VIRGEN DE CHAPI-EMP IC-747: EMP IC-108-DV. CERRO BLANCO-PTE LAS COLORADAS; EMP IC-108 EL TAMBO EMP. IC742, DISTRITO DE OCUCAJE PROVINCIA DE ICA DEPARTAMENTO DE ICA",NULO,unsuccessful,7214100300230730.0,SERVICIO DE MANTENIMIENTO RUTINARIO DE CAMINOS,CUBSO,1.0,96552.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1194465,ocds-dgv273-seacev3-1194465-2026-04-19T10:08:39.448678-05:00,1194465,21219039,1,SERVICIO DE ALQUILER DE RETROEXCAVADORA,CONTRATADO,complete,7214170100232879.0,SERVICIO DE ALQUILER DE RETROEXCAVADORA,CUBSO,1.0,84700.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1585-6,ocds-dgv273-seacev3-2026-1585-6-2026-04-19T10:08:39.180470-05:00,1193432,21216280,1,"EJECUCION DE OBRA: INTALACION DE SERVICIOS RECREACIONALES EN EL CAERIO TERELA, DISTRITO DE CASTILLA ¿ PIURA ¿ PIURA, CUI 2246798. META II: GRASS SINTETICO, CERCO PERIMETRICO, VESTUARIOS, SARDINELES Y CIRCULACION CON ADOQUINES DE CONCRETO, AREAS VERDES, EQUIPAMIENTO Y OTROS",NULO,unsuccessful,7215310300233050.0,CONSTRUCCION DE COMPLEJOS RECREACIONALES,CUBSO,1.0,1367483.01,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
