Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:Artículos Contratados:ID,compiledRelease/contracts/0/items/0/position,Entrega compilada:Contratos:Artículos Contratados:Descripción,compiledRelease/contracts/0/items/0/statusDetails,compiledRelease/contracts/0/items/0/status,Entrega compilada:Contratos:Artículos Contratados:Clasificación:ID,Entrega compilada:Contratos:Artículos Contratados:Clasificación:Descripción,Entrega compilada:Contratos:Artículos Contratados:Clasificación:Esquema,Entrega compilada:Contratos:Artículos Contratados:Cantidad,compiledRelease/contracts/0/items/0/totalValue/amount,compiledRelease/contracts/0/items/0/totalValue/currency,compiledRelease/contracts/0/items/0/totalValue/currencyName,Entrega compilada:Contratos:Artículos Contratados:Unidad:ID,Entrega compilada:Contratos:Artículos Contratados:Unidad:Nombre,Entrega compilada:Contratos:Artículos Contratados:Unidad:Esquema,_mes_origen
ocds-dgv273-seacev3-1191491,ocds-dgv273-seacev3-1191491-2026-03-06T10:10:12.906087-05:00,2379310,21211462,24,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,Contratado,active,7710180500314145.0,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,CUBSO,1.0,40000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191713,ocds-dgv273-seacev3-1191713-2026-03-06T10:10:12.634105-05:00,2379323,21211881,35,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,Contratado,active,7710180500314145.0,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,CUBSO,1.0,18000.0,PEN,Nuevos Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191461,ocds-dgv273-seacev3-1191461-2026-03-06T10:10:12.588087-05:00,2379296,21211416,16,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,Contratado,active,7710180500314145.0,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,CUBSO,1.0,16000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191510,ocds-dgv273-seacev3-1191510-2026-03-06T10:10:11.588840-05:00,2379313,21211546,29,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,Contratado,active,7710180500314145.0,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,CUBSO,1.0,32000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191848,ocds-dgv273-seacev3-1191848-2026-03-06T10:10:10.805401-05:00,2379329,21212351,39,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,Contratado,active,7710180500314145.0,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,CUBSO,1.0,18000.0,PEN,Nuevos Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1188581,ocds-dgv273-seacev3-1188581-2026-03-06T10:10:10.727333-05:00,2379460,21203973,1,"SERVICIO DE IMPRESIÓN, ENCUADERNADO Y EMPASTADO DE FORMATOS DE ATENCIÓN AL USUARIO-FUA Y FUA ADMINISTRATIVO DE LOS EE. SS DE LA RIS3A; DEPARTAMENTO DE UCAYALI, PROVINCIA DE ATALAYA, DISTRITO DE RAIMONDI.",Contratado,active,8212150400362193.0,SERVICIO DE IMPRESIONES EN PAPEL,CUBSO,1.0,98697.2,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191938,ocds-dgv273-seacev3-1191938-2026-03-06T10:10:10.713267-05:00,2379334,21212555,41,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,Contratado,active,7710180500314145.0,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,CUBSO,1.0,12000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191897,ocds-dgv273-seacev3-1191897-2026-03-06T10:10:10.132436-05:00,2379339,21212477,44,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,Contratado,active,7710180500314145.0,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,CUBSO,1.0,24000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1187648,ocds-dgv273-seacev3-1187648-2026-03-06T10:10:09.269876-05:00,2379386,21201488,1,CONTRATACION DE COMBUSTIBLE,Contratado,active,,,,3500.0,52000.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186029,ocds-dgv273-seacev3-1186029-2026-03-06T10:10:09.201438-05:00,2379503,21197410,1,"CONTRATACIÓN DE ADQUISICIÓN DE MADERAMEN PARA LA OBRA CREACIÓN DEL SERVICIO DE MOVILIDAD URBANA EN LAS CALLES LIMA, NAZCA, AYACUCHO EN LA LOCALIDAD DE SANTA LUCÍA DEL DISTRITO DE SANTA LUCÍA, PROVINCIA DE LUCANAS DEL DEPARTAMENTO DE AYACUCHO CON CUI",Contratado,active,6014130200382559.0,BLOQUES ESTRUCTURALES DE MADERA X 100 PIEZAS,CUBSO,1.0,65108.48,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
