Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Artículos que se adquirirán:ID,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificaciones adicionales:ID,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificaciones adicionales:Descripción,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificaciones adicionales:Esquema
ocds-dgv273-seacev3-1184912,ocds-dgv273-seacev3-1184912-2026-04-01T10:14:30.225399-05:00,1184912,21195782,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-2026-1142-1,ocds-dgv273-seacev3-2026-1142-1-2026-04-01T10:14:19.361789-05:00,1184974,21196074,72121203,Servicios de construcción de silos y de edificaciones para servicio agrícola,UNSPSC
ocds-dgv273-seacev3-2026-1487-3,ocds-dgv273-seacev3-2026-1487-3-2026-03-30T09:55:50.617680-05:00,1184326,21195470,81141807,Servicio de inspección de instalaciones sanitarias o alcantarillado,UNSPSC
ocds-dgv273-seacev3-2026-1068-3,ocds-dgv273-seacev3-2026-1068-3-2026-03-29T10:02:51.710711-05:00,1186014,21197388,81101510,Ingeniería de carreteras,UNSPSC
ocds-dgv273-seacev3-1185542,ocds-dgv273-seacev3-1185542-2026-03-29T10:02:35.506685-05:00,1185542,21199052,72141121,Servicios de construcción de tuberías principales de agua,UNSPSC
ocds-dgv273-seacev3-1184520,ocds-dgv273-seacev3-1184520-2026-03-29T10:02:35.490448-05:00,1184520,21194529,25101507,Camiones ligeros o vehículos de utilidad deportiva,UNSPSC
ocds-dgv273-seacev3-1185402,ocds-dgv273-seacev3-1185402-2026-03-29T10:02:26.457339-05:00,1185402,21196853,30111601,Cemento,UNSPSC
ocds-dgv273-seacev3-2026-1191-19,ocds-dgv273-seacev3-2026-1191-19-2026-03-29T10:02:26.300583-05:00,1185227,21196685,72141128,Servicio de remodelación  y/o construcción de plazas públicas,UNSPSC
ocds-dgv273-seacev3-1184513,ocds-dgv273-seacev3-1184513-2026-03-29T10:02:15.888404-05:00,1184513,21194781,11151512,Fibras de vidrio,UNSPSC
ocds-dgv273-seacev3-1184513,ocds-dgv273-seacev3-1184513-2026-03-29T10:02:15.888404-05:00,1184513,21194771,21101801,Aspersores,UNSPSC
ocds-dgv273-seacev3-1184513,ocds-dgv273-seacev3-1184513-2026-03-29T10:02:15.888404-05:00,1184513,21194761,15111506,Acetileno,UNSPSC
ocds-dgv273-seacev3-1184513,ocds-dgv273-seacev3-1184513-2026-03-29T10:02:15.888404-05:00,1184513,21194760,12352204,Enzimas,UNSPSC
ocds-dgv273-seacev3-1184513,ocds-dgv273-seacev3-1184513-2026-03-29T10:02:15.888404-05:00,1184513,21194811,24111502,Bolsas de papel,UNSPSC
ocds-dgv273-seacev3-1184513,ocds-dgv273-seacev3-1184513-2026-03-29T10:02:15.888404-05:00,1184513,21194739,23111503,Equipo de craqueo catalítico,UNSPSC
ocds-dgv273-seacev3-1184513,ocds-dgv273-seacev3-1184513-2026-03-29T10:02:15.888404-05:00,1184513,21194740,23152203,Bancos de pruebas de componentes o motores,UNSPSC
ocds-dgv273-seacev3-1184513,ocds-dgv273-seacev3-1184513-2026-03-29T10:02:15.888404-05:00,1184513,21194873,25151502,Estructuras de naves espaciales,UNSPSC
ocds-dgv273-seacev3-1184513,ocds-dgv273-seacev3-1184513-2026-03-29T10:02:15.888404-05:00,1184513,21194749,25151502,Estructuras de naves espaciales,UNSPSC
