Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:Artículos Contratados:ID,compiledRelease/contracts/0/items/0/position,Entrega compilada:Contratos:Artículos Contratados:Descripción,compiledRelease/contracts/0/items/0/statusDetails,compiledRelease/contracts/0/items/0/status,Entrega compilada:Contratos:Artículos Contratados:Clasificación:ID,Entrega compilada:Contratos:Artículos Contratados:Clasificación:Descripción,Entrega compilada:Contratos:Artículos Contratados:Clasificación:Esquema,Entrega compilada:Contratos:Artículos Contratados:Cantidad,compiledRelease/contracts/0/items/0/totalValue/amount,compiledRelease/contracts/0/items/0/totalValue/currency,compiledRelease/contracts/0/items/0/totalValue/currencyName,Entrega compilada:Contratos:Artículos Contratados:Unidad:ID,Entrega compilada:Contratos:Artículos Contratados:Unidad:Nombre,Entrega compilada:Contratos:Artículos Contratados:Unidad:Esquema
ocds-dgv273-seacev3-1184359,ocds-dgv273-seacev3-1184359-2026-05-15T10:33:09.355578-05:00,2392558,21193698,1,CONTRATACIÓN DEL SERVICIO DE CONSULTORÍA PARA LA ELABORACIÓN DEL EXPEDIENTE TÉCNICO DEL PROYECTO DENOMINADO: ¿RECUPERACIÓN DEL ÁREA DEGRADADA POR RESIDUOS SÓLIDOS EN EL SECTOR LA PUSHURA ¿ DISTRITO DE JAÉN ¿ PROVINCIA DE JAÉN ¿ DEPARTAMENTO DE CAJAMA,Contratado,active,8110151500349735,ELABORACION DE EXPEDIENTE TECNICO DE OBRA PARA CONSTRUCCION DE TRATAMIENTO DE RESIDUOS SOLIDOS,CUBSO,1.0,150000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1185265,ocds-dgv273-seacev3-1185265-2026-05-15T10:32:58.143933-05:00,2376771,21198603,1,"SERVICIO DE ALQUILER DE GRUAS CON PLATAFORMA ELEVADORA Y PLATAFORMA TELESCÓPICA PARA LA GERENCIA DE MANTENIMIENTO VIAL, PUENTES Y OBRAS SOCIALES",Contratado,active,7215450300232891,SERVICIO DE ALQUILER DE GRUA,CUBSO,1.0,119940.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1185474,ocds-dgv273-seacev3-1185474-2026-05-13T10:34:54.175169-05:00,2391539,21198994,5,SUSCRIPCION DE DE LICENCIA ANUAL DE S10,Contratado,active,8111250100367528,SERVICIO DE RENOVACION DE LICENCIA DE SOFTWARE DE GESTION DE PROYECTOS,CUBSO,12.0,62616.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-680-2,ocds-dgv273-seacev3-2026-680-2-2026-05-13T10:34:43.538162-05:00,2391616,21198655,1,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DE DESAGUE EN LAS LOCALIDADES DE SANTA RITA, SAN LUIS DE PUÑA Y PUÑA, SANTO DOMINGO Y EL NARANJO, DISTRITO DE TACABAMBA - CHOTA - CAJAMARCA",Contratado,active,8114180700356697,SUPERVISION DE OBRA DE CONSTRUCCION DEL SISTEMA DE AGUA POTABLE Y LETRINAS SANITARIAS,CUBSO,1.0,912151.25,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1200154,ocds-dgv273-seacev3-1200154-2026-05-10T21:37:30.638806-05:00,2391473,21233821,1,EJECUCION DE OBRA: MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA DE LAS URB. LOMAS DE LA MOLINA VIEJA ETAPAS I Y II EN EL SECTOR 7 DEL DISTRITO DE LA MOLINA - PROVINCIA DE LIMA- CUI N 2466243.,Contratado,active,7214100100233103,CONSTRUCCION DE CALLES CON PAVIMENTO,CUBSO,1.0,13368956.14,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1185554,ocds-dgv273-seacev3-1185554-2026-05-10T21:37:30.576784-05:00,2388726,21199075,1,EJECUCION DE LA OBRA: CREACION DEL SISTEMA DE RIEGO TECNIFICADO POR ASPERCION EN LOS SECTORES DE PAUSHA Y CHAMPARA DEL CENTRO POBLADO DE CHACUABAMBA DEL DISTRITO DE POMABAMBA PROVINCIA DE POMABAMBA DEPARTAMENTO DE ANCASH CON CUI N° 2566928,Contratado,active,7212120300233017,CONSTRUCCION DE SISTEMA DE RIEGO TECNIFICADO,CUBSO,1.0,644841.14,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-10406-1,ocds-dgv273-seacev3-2026-10406-1-2026-05-10T21:36:48.312383-05:00,2391459,21198893,1,"CONTRATACIÓN DEL SERVICIO DE ALQUILER DE VOLQUETES DE 15 M3 (MAQUINA SERVIDA A TODO COSTO) PARA EL PROYECTO MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DE LA RUTA YACA- OCOBAMBA-TACCACCA-RUNAHUAÑUSCCA, DE LOS DISTRITOS DE CIRCA Y CHUQUIBAMBILLA DE LAS PROVINCIAS DE ABANCAY Y GRAU DEL DEPARTAMENTO DE APURIMAC",Contratado,active,7810180500232933,SERVICIO DE ALQUILER DE CAMION VOLQUETE,CUBSO,1.0,650000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1185350,ocds-dgv273-seacev3-1185350-2026-05-08T10:37:40.308846-05:00,2390681,21196814,1,CEMENTO PORTLAND TIPO I X 42.50 kg,Contratado,active,3011160100012771,CEMENTO PORTLAND TIPO I X 42.50 kg,CUBSO,5475.0,169000.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1202545,ocds-dgv273-seacev3-1202545-2026-05-08T10:37:32.166698-05:00,2390667,21240516,01,"SERVICIO DE INSTALACION DE SISTEMA ELECTRICO DE MEDIA TENSION A TODO COSTO PARA LA OBRA ""MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL PRIMARIA DE LA I.E. 43178 JOSE OLAYA BALANDRA EN EL DISTRITO DE ILO, PROVINCIA DE ILO Y DEPARTAMENTO DE MOQUEGUA""",Contratado,active,7215150200380319,SERVICIO DE INSTALACION DE RED ELECTRICA EN EDIFICACIONES,CUBSO,1.0,278139.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-1632-5,ocds-dgv273-seacev3-2026-1632-5-2026-05-08T10:36:45.254142-05:00,2390810,21199004,1,"SERVICIO DE CONSULTORIA DE OBRA: RENOVACION DE PISTA: EN EL (LA) CALLE MIGUEL GRAU DEL CENTRO POBLADO MONTERON DEL DISTRITO DE MARCAVELICA, PROVINCIA SULLANA, DEPARTAMENTO PIURA - CUI 2668522",Contratado,active,8110150900336400,SUPERVISION DE OBRA DE PAVIMENTACION DE PISTAS DE ATERRIZAJE,CUBSO,1.0,103030.23,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
