Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Artículos Adjudicados:ID,compiledRelease/awards/0/items/0/position,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Descripción,compiledRelease/awards/0/items/0/statusDetails,compiledRelease/awards/0/items/0/status,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificación:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificación:Descripción,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificación:Esquema,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Cantidad,compiledRelease/awards/0/items/0/totalValue/amount,compiledRelease/awards/0/items/0/totalValue/currency,compiledRelease/awards/0/items/0/totalValue/currencyName,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Unidad:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Unidad:Nombre,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Unidad:Esquema
ocds-dgv273-seacev3-2026-444-1,ocds-dgv273-seacev3-2026-444-1-2026-03-25T10:13:43.340632-05:00,1184434-1761461,21194400,1,"CONTRATACIÓN PARA LA EJECUCIÓN DE LA OBRA:\nEJECUCIÓN DE SALDO DE OBRA ¿MEJORAMIENTO DEL SERVICIO DE ESPACIOS PÚBLICOS URBANOS EN EL PARQUE EL MIRADOR, EN EL SECTOR LOS JAZMINES, DISTRITO DE LOMAS, PROVINCIA DE CARAVELÍ, DEPARTAMENTO DE AREQUIPA¿",CONSENTIDO,active,7214112800233081,CONSTRUCCION DE PARQUES Y PLAZAS,CUBSO,1.0,378837.17,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-2384-11,ocds-dgv273-seacev3-2026-2384-11-2026-03-25T10:13:42.762057-05:00,1184551-20328495474,21194863,1,COMBUSTIBLE AREQUIPA,CONTRATADO,active,,,,1.0,1223341.92,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-2384-11,ocds-dgv273-seacev3-2026-2384-11-2026-03-25T10:13:42.762057-05:00,1184551-20454935048,21194865,3,COMBUSTIBLE MOLLENDO,CONTRATADO,active,,,,1.0,209956.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-2384-11,ocds-dgv273-seacev3-2026-2384-11-2026-03-25T10:13:42.762057-05:00,1184551-20601723451,21194896,2,COMBUSTIBLE CAMANA,CONSENTIDO,active,,,,1.0,653138.72,PEN,Nuevos Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-2384-11,ocds-dgv273-seacev3-2026-2384-11-2026-03-25T10:13:42.762057-05:00,1184551-99999999999,21194865,3,COMBUSTIBLE MOLLENDO,CONSENTIDO,active,,,,1.0,209956.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-2384-11,ocds-dgv273-seacev3-2026-2384-11-2026-03-25T10:13:42.762057-05:00,1184551-99999999999,21194863,1,COMBUSTIBLE AREQUIPA,CONSENTIDO,active,,,,1.0,1223341.92,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-2384-11,ocds-dgv273-seacev3-2026-2384-11-2026-03-25T10:13:42.762057-05:00,1184551-20558248867,21194896,2,COMBUSTIBLE CAMANA,CONTRATADO,active,,,,1.0,725811.9,PEN,Nuevos Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-20006-20,ocds-dgv273-seacev3-2026-20006-20-2026-03-25T10:13:42.593320-05:00,1185681-20602795617,21197038,1,SERVICIO DE RECLUTAMIENTO Y SELECCIÓN DE PLAZAS GERENCIALES PARA EL FMV,CONTRATADO,active,8011170100389433,SERVICIO DE SELECCION DE PERSONAL,CUBSO,1.0,82500.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1185665,ocds-dgv273-seacev3-1185665-2026-03-25T10:13:24.296113-05:00,1185665-20405568773,21199179,1,LECHE EVAPORADA ENTERA X 400 g  APROX.,CONTRATADO,active,5013170200307453,LECHE EVAPORADA ENTERA X 400 g  APROX.,CUBSO,177084.0,778284.18,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-152-1,ocds-dgv273-seacev3-2026-152-1-2026-03-25T10:13:24.273769-05:00,1184806-20481770182,21195649,1,"ADQUISICION DE SUMINISTROS DE LOS   BIENES ALIMENTICIOS PARA ATENDER A LOS BENEFICIARIOS DEL PROGRAMA VASO DE LECHE DE LA MUNICIPALIDAD DISTRITAL DE COCHABAMBA DE LA PROVINCIA DE HUARAZ DEL DEPARTAMENTO DE ANCASH, PERIODO 2026.",CONTRATADO,active,5019210900391578,"HOJUELA DE AVENA, QUINUA Y KIWICHA PRECOCIDA ENRIQUECIDA CON VITAMINAS Y MINERALES",CUBSO,1.0,66238.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-1242-3,ocds-dgv273-seacev3-2026-1242-3-2026-03-25T10:13:14.035983-05:00,1185226-1764747,21196681,1,"EJECUCIÓN DE CREACIÓN DEL SERVICIO PUBLICO DE LA PLAZA DE ARMAS DEL ANEXO DE HUAYAO DEL DISTRITO DE TAURIJA, PROVINCIA DE PATAZ, DEPARTAMENTO DE LA LIBERTAD, CON CUI N°2479582",CONTRATADO,active,7214112800233081,CONSTRUCCION DE PARQUES Y PLAZAS,CUBSO,1.0,650897.15,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
